STN_LABEL;ADR_NUMBER;zip;place;COM_CANTON;lat;long
Oberfeld;3;3283;Kallnach;BE;47.017959813936415;7.235556342987787
Hardern;12g;3250;Lyss;BE;47.08636822113887;7.328060488956484
Längmattstrasse;2;3436;Zollbrück;BE;46.96967589067699;7.750736997585718
Riedstrasse;4;3424;Niederösch;BE;47.11822947854698;7.6089178345839
Obere Hauptgasse;56;3600;Thun;BE;46.75831552760412;7.630496389306431
Riedmattenstrasse;54b;2562;Port;BE;47.11265909192748;7.256856400800058
Buechholzweg;7;3704;Krattigen;BE;46.65736696263168;7.742900915490721
Gmeinen;24;3753;Oey;BE;46.65123133517134;7.5826068827919295
Fröschenmösliweg;22;3114;Wichtrach;BE;46.83780358641437;7.569535585096432
Wilerallmistrasse;17;3655;Sigriswil;BE;46.71471189500928;7.733270630924754
Lindentalstrasse;112c;3067;Boll;BE;46.97365702764562;7.554409964865792
Hauptstrasse;32;3274;Hermrigen;BE;47.08088551894292;7.243849486344775
Läger;543;3824;Stechelberg;BE;46.51404349486908;7.8974178204421035
Birkenweg;2;4917;Melchnau;BE;47.18045391226074;7.846541782746815
Stöckackerstrasse;76;3018;Bern;BE;46.94534638730615;7.401119769385547
Gässli;7;3775;Lenk im Simmental;BE;46.45801519139636;7.441895184179774
Bergfeldstrasse;16;3032;Hinterkappelen;BE;46.9711955494622;7.3746877403681435
Krebsweg;1a;2560;Nidau;BE;47.122231116253126;7.246742417448651
Bahnhofstrasse;3;3627;Heimberg;BE;46.78942247586256;7.607111157662883
Teussenhohle;1;3454;Sumiswald;BE;47.03504776323324;7.752550557547096
Rue de la Clef;47;2610;St-Imier;BE;47.15005472694667;6.994753946746768
Hauptstrasse;5;3512;Walkringen;BE;46.94733242959799;7.620712832003936
Liechtenenstrasse;8;3860;Meiringen;BE;46.72905016567906;8.174249066228402
Untere Bönigstrasse;11d;3800;Interlaken;BE;46.69090620369065;7.87021051313927
Riedgasse;18;3373;Heimenhausen;BE;47.211728118356795;7.69735230123853
Neumattstrasse;60;3400;Burgdorf;BE;47.06792054012872;7.609074762901568
Buristrasse;11;3006;Bern;BE;46.945050406055735;7.475396399136574
Rüttistrasse;8;3427;Utzenstorf;BE;47.1337033253886;7.5469503072934785
Schützenstrasse;14;4900;Langenthal;BE;47.212792188668125;7.797246170411899
Losenegg;35a;3619;Eriz;BE;46.78512733914258;7.744065744578705
Juraweg;18;3053;Münchenbuchsee;BE;47.0245987842143;7.454994857532616
Birchistrasse;2;3047;Bremgarten b. Bern;BE;46.97693381907958;7.424293551196785
Bielmatten;10a;2564;Bellmund;BE;47.10960783168226;7.244706235736456
Aarhölzliweg;11;3627;Heimberg;BE;46.78502923036757;7.603312849461335
Junkerngasse;41;3011;Bern;BE;46.947708644305806;7.4542634815985895
Freiestrasse;38;3800;Interlaken;BE;46.68571487123336;7.868051461889217
Im Gruebi;1401f;3823;Wengen;BE;46.60750203435337;7.92093471384348
Schaufelbühl;695e;3452;Grünenmatt;BE;47.0283120178321;7.71699236319905
Hausmattweg;19;3074;Muri b. Bern;BE;46.92459640003838;7.495221655764879
Dorfstrasse;78a;3782;Lauenen b. Gstaad;BE;46.41902301209317;7.3237619264449485
Utzenstorfstrasse;8;3425;Koppigen;BE;47.13368532830778;7.600820904191676
Beatenbergstrasse;60c;3800;Unterseen;BE;46.68850723647817;7.844909391131052
Stalden;13;3616;Schwarzenegg;BE;46.79340320087359;7.7266925383350955
Neuwiler;3;3266;Wiler b. Seedorf;BE;47.05201889260897;7.321551539739632
Sägeweg;27;3044;Innerberg;BE;46.99232137643328;7.307550685836319
Rue des Planches;25;2613;Villeret;BE;47.15831110471044;7.013490250604801
Löhli;645;3454;Sumiswald;BE;47.03560536575841;7.7459227170157225
Pleerweg;110;3400;Burgdorf;BE;47.047436426031304;7.616668964249853
Rossmatta;991b;3805;Goldswil b. Interlaken;BE;46.697857576278544;7.882530037249208
Schauplatzgasse;8;3011;Bern;BE;46.94748465605354;7.4429671138138245
Rütistrasse;12;3855;Schwanden b. Brienz;BE;46.757516928439976;8.051662132877913
Bahnhofweg;2;3054;Schüpfen;BE;47.04023635695239;7.381275238760912
Grundstrasse;61b;3818;Grindelwald;BE;46.622431563511256;8.023509072805426
Loch-Gässli;4;3770;Zweisimmen;BE;46.57762695282602;7.387996811735433
Kirchmätteliweg;6;3653;Oberhofen am Thunersee;BE;46.734308569264144;7.6640093847475015
Altikofenstrasse;81;3048;Worblaufen;BE;46.98109713052028;7.463289035786577
Grabenweg;10a;3647;Reutigen;BE;46.69768736714411;7.612735899791016
Pré es Brons;180;2747;Corcelles BE;BE;47.29900263738981;7.451821564146275
Terrassenweg;20;3110;Münsingen;BE;46.872521306663074;7.573200423316242
Risegasse;9;3704;Krattigen;BE;46.66045753524878;7.730610590530149
