type_search,street,price,object_type,living_area,construction_category,PLZ_only,Location,canton,BFS-Nr.,Region type,Haustiere erlaubt,Balkon,Terrasse,Kabel-TV,Rollstuhlgängig,Kinderfreundlich,Garage,Lift,Neubau,Keller,Reduit,Geschirrspüler,Steamer,Spielplatz,Eckhaus,Parkplatz,Aussicht,Minergie Bauweise,Minergie zertifiziert,Mittelhaus,Ruhige Lage,Waschmaschine,Rauchen erlaubt,Stromanschluss,Wasseranschluss,Abwasseranschluss,Cheminée,Altbau,Estrich,Swimmingpool,Bauland erschlossen,Mit Gartenhaus,Im Baurecht,Hochparterre,Gasanschluss,Tumbler,In Wohngemeinschaft,Hebebühne,Gedeckt,Anfahrrampe LKW,full_address,lat,long
haus,Rüttiweg 133,838938.4615,Einfamilienhaus,150.0,Modern Buildings,5083,Ittenthal,Aargau,4169,7: Ländliche Gemeinde ohne städtischen Charakter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Rüttiweg 133 5083,47.521205171070655,8.054899488303358
haus,Sonnenbergstrasse 18,742915.3846,Einfamilienhaus,108.3333333,Old Buildings,5236,Remigen,Aargau,4110,5: Mehrfach orientierte Gemeinde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Sonnenbergstrasse 18 5236,47.517831698858856,8.190615521773356
haus,Schinebüelstrasse 22,1000661.538,Terrassenhaus,141.6666667,Modern Buildings,5413,Birmenstorf AG,Aargau,4024,5: Mehrfach orientierte Gemeinde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schinebüelstrasse 22 5413,47.46321142540977,8.243759213567772
haus,Schuléweg 5,1061307.692,Doppeleinfamilienhaus,166.6666667,Modern Buildings,5036,Oberentfelden,Aargau,4010,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Schuléweg 5 5036,47.35310917172144,8.048206501615418
haus,Panoramaweg 20,1182600.0,Einfamilienhaus,175.0,Old Buildings,5035,Unterentfelden,Aargau,4013,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Panoramaweg 20 5035,47.373452530589695,8.046942781609797
haus,Pilatusstrasse 56,929907.6923,Einfamilienhaus,158.3333333,Old Buildings,4663,Aarburg,Aargau,4271,2: Agglomerationskerngemeinde (Hauptkern),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pilatusstrasse 56 4663,47.316541073181824,7.904348027345946
haus,Hausmattweg 5,1298838.462,Doppeleinfamilienhaus,216.6666667,Old Buildings,4663,Aarburg,Aargau,4271,2: Agglomerationskerngemeinde (Hauptkern),0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Hausmattweg 5 4663,47.32272513241463,7.8986610230246095
haus,Oberdorfstrasse 138,1324107.692,Einfamilienhaus,266.6666667,Historic Houses,5325,Leibstadt,Aargau,4311,7: Ländliche Gemeinde ohne städtischen Charakter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oberdorfstrasse 138 5325,47.58499526126206,8.175933127218164
haus,Chalbermattstrasse 8,1238192.308,Einfamilienhaus,158.3333333,New Construction,5316,Leuggern,Aargau,4313,7: Ländliche Gemeinde ohne städtischen Charakter,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Chalbermattstrasse 8 5316,47.58363470597239,8.214916971199338
haus,Talweg 5,1157330.769,Terrassenhaus,200.0,New Construction,4324,Obermumpf,Aargau,4256,4: Agglomerationsgürtelgemeinde,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Talweg 5 4324,47.533728549068805,7.934058459977655
